uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_45,24ur_59,2022-11-30 14:00,Ni važno kaj poseduje posameznik važno na kakšen način je to pridobil,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_46,24ur_60,2022-11-30 13:59,Naj ima kar hoče.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_61,2022-11-30 13:43,"Boljše, da Franca kot večletni pomorščak, prevzame dupleško mornarico. Kot Duplečan bi se lahko bolj angažiral za rodni kraj, ne pa da se Mariborčanom predstavlja za njihovega meščana. Franca, bolje, da si prvi na vasi, kot zadnji v mestu.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_47,24ur_62,2022-11-30 13:37,A janković se že kopa v ljubljanci??,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_47,24ur_63,2022-11-30 13:36,"ima gumanjak na Dravi v Dupleku parkiranega, perhani!!",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_64,2022-11-30 13:35,"Pa zakaj Franca ne bi imel jahte, če je tako uspešen kmet, ki je na kmetiji s komaj 3,5 ha veliko zaslužu in ob skromnem živleju prišparal kar 250.000 €?",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_48,24ur_65,2022-11-30 13:30,ima jahto ki vleče čoln za sabo,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_49,24ur_66,2022-11-30 13:29,"En tepe tuje otroke, en je pa Kangler.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_50,24ur_67,2022-11-30 13:26,"Pa kaj ima premoženje vsakega s tem, kaj bo naredil za toti Maribor. Pa norca se delata oba, lažejo en preko drugega, gledata pa oba samo za svoj žep kot bi vsak. Kanglerju zamerim sumljive posle in izsiljevanja v Mariboru z Barado in druženje njega kot župana z Šiškotom, Arsenoviču pa, da je delal vse in izključno v svojo korist.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_51,24ur_68,2022-11-30 13:23,A je Mariborski Jankovič ispolnil vse prejšnje obljube ga naj vprašajo.Če ni adijo ne pa spet obljubljat kar počez samo za dobro plačo.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_40,24ur_69,2022-11-30 13:21,"Čoln (do 12 ali 24m) odvisno od države, nad tem je ladja. Jahta je lahko čoln ali ladja, katera je namenjena večdnevnemu bivanju do 12 ljudi plus posadka. Kdo lahko upravlja s katerim od plovil je drugo poglavje. Bom malo posplošil; čoln je garsonjera, jahta pa razkošen apartman.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_52,24ur_70,2022-11-30 13:18,"Briga me, zarad mene ma lohk letalonosilko",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_53,24ur_71,2022-11-30 13:17,Franjo ima samo trdo kožo...........,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_72,2022-11-30 14:34,Trdo kožo in veliko željo po oblasti.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_71
user_24ur_54,24ur_73,2022-11-30 13:12,"Kangla, a nisi rekel, kako je tvoja hčera zbirala plastenke, da je imela vsaj za sladoled?! Ja, vidimo, kak se ti znaš sam sebi smilit, ko voda ne teče na tvoj mlin. Vozi.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_55,24ur_74,2022-11-30 13:11,"Kje, kaj in kako je kaj dobila gospa predsednica NPM ni pomembno, pomembno je , da ima Kangler jahto za 45 jurjev, res je siromak napram NPM ali vrhunskemu menedžerju RG.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_75,2022-11-30 13:02,"oddaja RTV SLO Tarča, 6.1.). Bolje, da Franca še naprej ostane najboljši kmet v državi, če ne celo v Evropi, kot pa da bi bil slab župan Maribora.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_56,24ur_76,2022-11-30 13:01,"Kaj pa je definicija jahte. Kolikor vem, je vse do 24m čoln",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_57,24ur_77,2022-11-30 12:58,"Kangler, ti si naš župan in pika. Vsi bomo volili za tebe.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_58,24ur_78,2022-11-30 12:56,"Kako lahko lik kot je Kangler,ki je baraba in prevarant,sploh pride do sem?",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_59,24ur_79,2022-11-30 12:51,"Ej pubeci, ko vam tota Kangla naštela radarje od Frama do Mariobora na 5 metrof, bo Maribor pozlatil….boh varvej, da začne senzorje za alko hlape inštalirat.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_60,24ur_80,2022-11-30 12:37,vrnil se je Šime s svojo leseno brkačo,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_61,24ur_81,2022-11-30 12:36,"Kako se je pisal, mislim, da Štrancar, kolko je dobo od iskre, kera stranka je to...",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_62,24ur_82,2022-11-30 13:12,šešok,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_63,24ur_83,2022-11-30 12:34,"Levičar socialist mora imeti za vodjo Bogatuna. Imel je nesramno bogatega Tita nekoč, danes pa voli Arsenoviča, Zokija, Musarjevo Goloba. Več imaš denarja, večja je verjetnost, da te bodo levičarji izvolili.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_64,24ur_84,2022-11-30 12:29,"Kolk pa kuri ta Antares 8, ki ni jahta ampak čolnič, ki ni dolg 8,23 m ampak 7,50 m, sam vprašam za soseda, ki kupuje barko.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_65,24ur_85,2022-11-30 12:26,"Franci misli da ima jahto, pravzaprav pa si lasti samo čoln. Prenapihnjen prepotentnež. Ruša bo pozdravila tudi to njegovo bolezen.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_66,24ur_86,2022-11-30 12:31,V bistvu Arsenović ne ve kaj je jahta in kaj čoln. Preberi članek potem pa trosi....,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_85
user_24ur_67,24ur_87,2022-11-30 12:17,Kangler je po mojem mnenju Kriminalec on drugi pa kekec.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_68,24ur_88,2022-11-30 12:45,Zadetek v polno !,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_87
user_24ur_17,24ur_89,2022-11-30 12:03,"Franca, lepo bi policaj ostal in bi sedaj že bil v penziji. Prideloval lubenice in siromakom pomagal.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_54,24ur_90,2022-11-30 12:07,"Korintos11, saj je že v penziji, ampak on bi rad bil spet šerif.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_89
user_24ur_17,24ur_91,2022-11-30 12:13,Upokojen pa tak zaletav?,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_89
user_24ur_69,24ur_92,2022-11-30 12:01,Franca je bil 10 let nazaj Gotof si.Zdej ga bodo zreinkarnirali taisti mariborcani.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_70,24ur_93,2022-11-30 11:59,Tanker ima. Janković pa gumenjaka.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
