uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_rtv_14,rtv_55,2022-12-5 17:33,"Drži ,samo ne v recesiji...",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_56
user_rtv_14,rtv_57,2022-12-5 17:25,Kaj pa ima Janša s tem?,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_0
user_rtv_2,rtv_21,2022-12-05 16:48,"veliko ljudi ne bo ravno lepo živelo, ker že sedaj komaj shajajo...mogoče je pa zgolj vaše razmišljanje utopično...",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_42
user_rtv_20,rtv_42,2022-12-05 19:57,"Nižji davki za tiste, ki služijo nad 5000 mesečno, ostalim pa Karitas? To je Janšizem....in razviti zahod! Golobizem pa = Venezula in S. Koreja.Pomeni - zaslužil bom 5000 eur, država mi jih bo 4000 vzela, da bom imel na koncu 1000, tako kot tisti z minimalcem. Zaenkrat še niso tako radikalni, ampak to so vsekakor dolgoroćne mokre sanje levičarjev... Samo ne vem, kdo bo potem še pripravljen študirati 15 let (recimo medicina) in opravljati dela z dodano vrednostjo... Ko ne bo v Sloveniji nobenega inženirja več - komu boste potem levičarji nabijali ultra davke?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_4,rtv_58,2022-12-5 20:30,"...in razviti zahod! Golobizem pa = Venezula in S. Koreja.Država namenja 8% razvoju gospodarstva. Torej 4x več od obrambe. Je pa smešno, da omenjaš dve državi pod sankcijami.Še posebej Venezuelo. Ki ni S od socialnih sistemov, ki jih poznamo pri nas.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_4,rtv_58,2022-12-5 20:30,"...in razviti zahod! Golobizem pa = Venezula in S. Koreja.Država namenja 8% razvoju gospodarstva. Torej 4x več od obrambe. Je pa smešno, da omenjaš dve državi pod sankcijami.Še posebej Venezuelo. Ki ni S od socialnih sistemov, ki jih poznamo pri nas.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_59
user_rtv_27,rtv_59,2022-12-05 20:24,"Še je upanje, da se ta škodljiv zakon odlozi še vsaj za eno leto.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_14,rtv_60,2022-12-5 20:29,"Ne, ni upanja, spet ga bodo hitro potrdili in to je to",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_33
user_rtv_21,rtv_61,2022-12-5 20:00,A ti ločiš med mesečnim prihodkom in letno splošno olajšavo? Očitno ti te stvari niso najbolj jasne. Zato jih raje ne komentiraj.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_6
user_rtv_5,rtv_6,2022-12-05 15:52,Ljudstvo si nikoli ne želi davkov. Ampak. Pobrani davki se v največji meri namenjajo za pokojninsko in zdravstveno zavarovanje. Kaj pa zdaj?,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_28,rtv_62,2022-12-05 19:48,"uf, brca v temo.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_4
user_rtv_4,rtv_4,2022-12-05 15:31,"se s 1. januarjem 2023 ne bo zvišala na 5500 evrov, kot je določeno v zdaj veljavnem zakonu, ampak le na 5000 evrov. Nadaljnja postopna zvišanja na 7500 evrov do leta 2025 se ob tem odpravljajo. To predstavlja korak k nižjim plačam, je v predlogu za odložilni veto zapisala skupina državnih svetnikov s prvopodpisanim Markom Zidanškom.Več je manj, manj je več.Svašta!",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_16,rtv_44,2022-12-05 19:05,"Čak, a vsem so mislil 5500 eur dati. Pa do leta 2025 vsem po 7500? Če je povprečje 1980, minimalec pa 800, koliko ljudi je ob to bogato povišnico? 3%? Svinje bi se debelile, tisti ki komaj preživijo pa naj crknejo?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_37
user_rtv_29,rtv_63,2022-12-05 17:53,"Koliko manjša bo potrošnja zaradi višjih davkov, pa so izračunali?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_64
user_rtv_18,rtv_64,2022-12-05 17:37,to bo povedal čas.....,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_14,rtv_65,2022-12-5 17:38,"Ne, vlada bo povečala število zaposlenih ,tako kot so to delali vsi pred njo",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_30,rtv_66,2022-12-5 17:38,....ja....kradejo cajt....in dnar.....,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_16
user_rtv_14,rtv_67,2022-12-05 17:31,"Drži in nova ministerstva te ne bodo nič več stala kot sedaj, ker vis ti ki jih potrebujejo za to ministerstvo je vlada že zaposlila oz bo še dodajala, tudi če bi bili v 1 ministerstvu. Točno tako kot je to pčela prejšnja vlada.In zato bluziš, ker misliš da če ne bi bileli dodatnih ministerstev, da ta vlada ne bi zaposljevala, tako kot prejšnja",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_0
user_rtv_31,rtv_68,2022-12-5 22:53,"Tebi se zdi prav, da se niža neto plače, tako kot Štruklju. Več davkov, več bo lahko zahteval za že tako preplačane, rajo ki denar dela, pa qurc gleda.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_69
user_rtv_20,rtv_69,2022-12-05 20:11,"In luknja v porračunu bi bila 1 leto neznanka, ker nihče ni izračunal točnega vpliva kot je manjša potrošnja zaradi inflacije in recesije. Nepomembna rečV gospodarstvu imamo možnost, da delamo v obsegu, kot želimo. Preprost primer:Davek do 100.000 eur prometa je 10%. Ustvarim 100.000 eur prometa. Z veseljem plačam državi 10 000 eur.Novela nova vlada - do 50.000 dohodka bo davek 5%, nad 50.000 bo 50%.Torej bi za 100.000 eur prometa (za kar moram delati petek in svetek) namesto sedanjih 10.000 eur državi moral na koncu odšteti 50.000 eur. Saj nisem trčen!Raje bom ustvaril smao 50.000 prometa (delal polovico manj), in plačal 2500 eurov davka. Na koncu bom sicer zaslužil 2500 eurov manj kot če bi se metal na sobe in ustvaril 100.000 prometa(in sladko spal ob misli, da na račun svojega zdravja nisem vrgel skozi okno 50.000 eur)Država bo zaradi takšne politke od mene dobila 7500 eur manj, kot bi sicer ob nižji davčni stopnji...Ja, levičarjem matematika nikoli ni šla in ne vedo, da je bolje imeti 10% od milijona kot 100% od nič...",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_14,rtv_70,2022-12-5 20:20,"Realno gledano kolik jih ustvari 100.000 eur na leto v Sloveniji? Praktično nič od nič. Drugače se s teboj tu 100% strinjam, samo to ni problem samo levice, ker tudi desnica je spremembe uvaljavila mesec pred volitvam in ne 2 leti nazaj, ko so imeli lepo priložnost za toSamo nekateri še vedno menite, da so kaj boljši kot desničarji..",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_42
user_rtv_14,rtv_71,2022-12-5 20:14,"Tebi očitno, če je tako preprosto. Škoda pa da ti desničarji niso znižali davke že takoj in so čakali na volitve...le zakaj?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_37
